,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Rating,Credit_Mix_Bad,Credit_Mix_Good,Credit_Mix_Standard,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes
12,28,34847.84,3037.986666666666,2,4,1.0,1.0,6.42,2.0,605.03,34.97789474709241,18.816214573128885,130.11542,444.86703,704.6159836448453,0,1,0,1,0
13,28,34847.84,3037.986666666666,2,4,1.0,0.0,5.42,2.0,605.03,33.38101020065065,18.816214573128885,43.477192,481.50525,728.3907590863766,0,1,0,1,0
15,28,34847.84,3037.986666666666,2,4,1.0,4.0,5.42,2.0,605.03,32.933856293622235,18.816214573128885,218.90434,356.0781,712.4371541615845,0,1,0,1,0
43,31,73928.46,5988.705000000001,4,5,0.0,7.0,10.14,2.0,548.2,30.201657705809275,0.0,618.2024,270.66812,694.3125184526198,0,1,0,1,0
81,40,33751.27,2948.605833333333,5,5,3.0,20.0,11.0,4.0,1328.93,30.908080633467584,65.00817428651536,70.13108,399.72134,582.5484541704817,0,0,1,0,1
84,40,33751.27,2948.605833333333,5,5,3.0,20.0,8.0,8.0,1328.93,29.073758182245705,65.00817428651536,243.32968,276.52274,597.2571211962919,0,0,1,0,1
85,40,33751.27,2948.605833333333,5,5,3.0,20.0,11.0,8.0,1328.93,32.78263672653516,65.00817428651536,72.860085,406.99234,586.5882699169455,0,0,1,0,1
86,40,33751.27,2948.605833333333,5,5,3.0,20.0,11.0,8.0,1328.93,35.58400504980836,65.00817428651536,35.42717,444.42523,666.3801221467277,0,0,1,0,1
87,41,33751.27,2948.605833333333,5,5,3.0,17.0,11.0,8.0,1328.93,31.13948358493632,65.00817428651536,25.969612,443.88278,616.255599985142,0,0,1,0,1
118,37,25546.26,2415.855,8,7,5.0,14.0,10.83,5.0,758.44,30.099067241911712,101.3286373638512,130.3004,299.95648,658.3933751652798,0,0,1,0,1
122,181,31993.78,2942.148333333333,6,6,2.0,14.0,10.28,1.0,818.22,27.38010904580052,45.14129822463578,264.25708,274.81644,589.1027605303851,0,0,1,0,1
124,30,31993.78,2942.148333333333,6,6,2.0,14.0,6.28,1.0,818.22,30.788038803709785,45.14129822463578,43.47041,455.60312,632.7538678107626,0,0,1,0,1
127,31,31993.78,2942.148333333333,6,6,2.0,16.0,6.28,1.0,818.22,36.012793772472094,45.14129822463578,97.5882,421.48532,585.1080558216257,0,0,1,0,1
136,45,32284.62,2898.385,6,7,6.0,12.0,9.22,8.0,1283.37,28.94089258854545,103.03756035536594,254.86162,211.93933,654.676354558215,0,0,1,0,1
137,46,32284.62,2898.385,6,7,6.0,12.0,9.22,8.0,1283.37,27.86131019311364,103.03756035536594,103.210304,353.59064,631.556883810578,0,0,1,0,1
138,46,32284.62,2898.385,6,7,6.0,12.0,9.22,8.0,1283.37,27.88169704475605,103.03756035536594,35.793568,391.0074,614.2024909749259,0,0,1,0,1
155,31,19300.34,1512.361666666667,6,7,5.0,19.0,9.95,7.0,2430.21,28.870386917234462,49.57206224445275,61.42803,300.23608,664.9004137189726,1,0,0,0,1
156,32,19300.34,1512.361666666667,6,7,5.0,19.0,9.95,7.0,2430.21,28.05884596384257,49.57206224445275,173.04256,218.62155,567.3785860561204,1,0,0,0,1
162,41,19514.88,1828.24,7,5,0.0,12.0,4.17,2.0,881.4,33.66946005394869,0.0,43.315823,389.50818,652.683343358703,0,0,1,1,0
217,32,43070.24,3622.186666666666,3,3,1.0,8.0,14.97,4.0,1233.1,28.0712918599624,30.57608482316153,443.91867,177.7239,623.1240104225731,0,0,1,0,1
218,32,43070.24,3622.186666666666,3,3,1.0,8.0,12.97,4.0,1233.1,28.361166154311103,30.57608482316153,50.509148,521.1334,591.1184386641627,0,0,1,0,1
222,32,43070.24,3622.186666666666,3,3,1.0,8.0,8.97,8.0,1233.1,34.718643637980016,30.57608482316153,108.62344,493.01913,634.6596382814157,0,0,1,0,1
226,40,28572.39,2210.0325,6,3,3.0,10.0,4.89,0.0,400.07,29.323516897407607,69.60292048199007,53.484203,347.91614,640.4760472714199,0,0,1,0,1
230,40,28572.39,2210.0325,6,3,3.0,13.0,4.89,2.0,400.07,35.025882785272486,69.60292048199007,76.60781,364.7925,648.3090061098753,0,0,1,0,1
242,55,20186.02,1684.168333333333,1,5,2.0,3.0,6.83,4.0,413.32,31.861736271923107,29.534583720496048,26.290476,362.59177,677.365929982134,0,1,0,1,0
245,55,586359.0,1684.168333333333,1,5,2.0,7.0,6.83,4.0,413.32,28.836349156043877,29.534583720496048,68.956726,319.92554,675.796526851462,0,1,0,1,0
246,55,20186.02,1684.168333333333,1,5,2.0,6.0,6.83,4.0,413.32,36.05869702109428,5994.0,121.76543,307.11682,614.8114483019091,0,1,0,1,0
247,55,20186.02,1684.168333333333,1,5,2.0,6.0,6.83,4.0,413.32,33.75820397193409,29.534583720496048,153.5388,265.34344,649.7407324841905,0,1,0,1,0
